Dataset,largest_first,random_sequential,smallest_last,independent_set,connected_sequential_bfs,connected_sequential_dfs,saturation_largest_first,largest_first_interchange,random_sequential_interchange,smallest_last_interchange,connected_sequential_bfs_interchange,connected_sequential_dfs_interchange
car92,32,42,33,49,41,47,30,31,36,29,35,38
car91,34,46,34,50,41,48,31,31,40,30,36,39
ear83,26,30,23,32,28,28,23,23,26,22,26,26
hec92,20,22,19,23,22,22,19,19,18,18,20,19
kfu93,20,25,20,25,23,24,19,19,20,19,20,21
lse91,19,25,18,27,21,21,19,18,21,17,20,19
pur93,38,56,39,67,51,53,35,34,49,35,44,48
rye93,25,30,22,31,26,26,22,22,24,21,23,25
sta83,13,14,13,13,13,13,13,13,14,13,13,13
tre92,23,28,24,29,28,29,23,22,25,21,24,25
uta92,36,46,33,54,44,44,31,33,40,31,39,37
ute92,11,12,10,12,13,12,10,10,11,10,10,11
yor83,23,26,22,27,26,26,20,22,23,21,24,22
