Dataset,largest_first,random_sequential,smallest_last,independent_set,connected_sequential_bfs,connected_sequential_dfs,saturation_largest_first,largest_first_interchange,random_sequential_interchange,smallest_last_interchange,connected_sequential_bfs_interchange,connected_sequential_dfs_interchange
ITC2007_1,23,25,22,32,25,29,21,22,24,21,23,25
ITC2007_2,15,15,15,16,15,17,15,15,15,15,15,15
ITC2007_3,23,28,23,30,27,28,22,23,23,22,23,25
ITC2007_4,20,25,20,28,26,25,18,19,22,19,22,22
ITC2007_5,14,16,13,18,16,15,13,13,14,13,13,14
ITC2007_6,15,18,14,20,16,19,14,13,15,14,14,15
ITC2007_7,20,25,20,28,22,25,19,19,20,17,19,20
ITC2007_8,22,25,21,28,23,27,21,21,22,20,21,22
ITC2007_9,13,15,12,16,15,15,12,11,12,11,13,11
ITC2007_10,18,18,18,18,18,18,18,18,18,18,18,18
ITC2007_11,23,27,23,30,27,28,22,23,23,22,23,25
ITC2007_12,13,13,12,14,14,13,12,12,13,12,13,13
