Noise by student
Noise by component
Noise by Exam

ITC2007_1   []                                                                                                                                                                                                                                       [44,45,46,82,83,84]                                                                                                                                                                                                                                                                                                                                              []

ITC2007_2   [38,107,180,210,228,234,305,308,316,333,338,344,502,595,611,613,618,619,668,676,748,750,751,752,789,864]                                                                                                                                 [643,648,10,144,789,280,281,284,668,676,37,38,297,304,305,690,691,180,306,308,688,689,314,315,316,317,318,319,68,202,203,333,209,210,338,595,341,342,344,345,346,857,858,606,864,609,226,227,228,229,610,611,613,617,234,107,618,619,748,750,751,752,762,759,757,502,758,761,378,379,380]                                                                        [10,529,37,38,55,587,588,595,611,612,613,617,618,107,619,643,644,645,648,654,144,668,676,688,689,180,706,202,203,204,205,206,207,208,209,210,211,212,735,736,228,234,748,750,751,752,754,755,758,759,789,278,280,281,284,292,297,299,304,305,308,314,826,316,317,827,319,834,841,333,334,849,338,340,341,342,344,345,346,857,858,864,366,436,502,504]

ITC2007_3   [79,125,126,304,399,525,531,593,596,607,610,643,704,736,737,738,798,887,934]                                                                                                                                                             [643,525,142,143,144,399,531,21,22,23,24,669,670,671,798,932,933,934,304,308,309,310,311,312,704,79,593,596,344,345,607,736,737,610,738,239,241,371,887,248,125,126]                                                                                                                                                                                             [897,387,643,901,134,131,133,138,523,524,525,142,143,144,399,527,531,655,407,156,669,670,671,798,927,547,676,932,678,933,934,686,304,180,311,312,442,443,139,63,64,704,578,69,328,718,79,720,593,721,596,344,345,603,247,607,736,737,610,738,239,887,241,242,245,246,254,248,249,125,126]

ITC2007_4   []                                                                                                                                                                                                                                       []                                                                                                                                                                                                                                                                                                                                                               []

ITC2007_5   [146,252,496,516,556,587,657,798,816,817,819,821,831,869,873,939]                                                                                                                                                                        [636,640,641,516,903,657,146,147,148,149,798,552,554,939,556,558,816,817,819,564,821,831,578,836,452,198,453,200,454,202,584,582,587,346,347,348,860,350,352,480,482,866,869,873,491,508,496,634,503,632,506,252]                                                                                                                                                [636,640,641,897,516,903,145,146,657,663,798,552,554,939,556,940,558,814,816,817,563,564,819,821,822,831,578,836,582,584,587,860,350,352,866,869,873,494,495,496,632,634,252]

ITC2007_6   [89,190,230,239,242]                                                                                                                                                                                                                     [1,2,194,230,239,209,242,89,123,124,190]                                                                                                                                                                                                                                                                                                                         [1,194,2,37,230,39,75,76,239,209,242,89,123,124,190]

ITC2007_7   [21,28,29,43,62,80,81,99,132,140,146,149,150,192,211,213,214,216,217,219,222,234,236,237,249,250,252,263,266,267,292,294,295,296,297,298,299,300,348,351,353,366,414,437,586,587,588,589,593,594,607,620,654,837,948,951,979,1024,1075]  [1024,1,1029,1030,1031,1032,21,1045,28,29,43,44,1075,1077,62,576,578,581,586,587,588,589,79,80,81,594,591,593,85,598,600,607,98,99,103,620,621,622,623,624,132,140,654,146,149,150,192,211,213,214,216,217,219,222,738,234,236,237,242,244,249,250,251,252,259,260,261,262,263,266,267,292,294,295,296,297,298,299,300,837,348,351,353,366,414,948,437,951,979]  [1024,1,1029,1030,1031,1032,1042,21,1045,28,29,43,44,1075,1077,54,62,585,586,587,588,589,591,80,81,594,592,593,598,600,607,99,618,620,621,622,623,624,628,132,140,654,146,148,149,150,163,683,192,199,715,208,211,213,214,216,217,219,222,738,234,236,237,242,244,249,250,251,252,261,262,263,266,267,289,292,293,294,295,296,297,298,299,300,837,332,348,351,353,366,414,948,437,951,979,468,511]

ITC2007_8   [10,25,33,44,50,199,245,285,322,345,401,476,477]                                                                                                                                                                                         [10,401,25,285,31,32,33,40,41,42,44,50,322,199,345,476,477,498,499,500,245,501]                                                                                                                                                                                                                                                                                  [32,33,322,477,199,345,10,44,401,50,564,245,23,25,476,285,31]

ITC2007_9   [1,3,89,160]                                                                                                                                                                                                                             [89,1,3,160]                                                                                                                                                                                                                                                                                                                                                     [160,1,3,138,43,79,89,124]

ITC2007_10  [44]                                                                                                                                                                                                                                     [67,36,37,68,69,8,9,10,11,44,72,70,71,16,17,18,19]                                                                                                                                                                                                                                                                                                               [67,36,37,68,9,44,16]

ITC2007_11  [79,125,126,304,399,525,531,593,596,607,610,643,704,736,737,738,798,887,934]                                                                                                                                                             [643,525,142,143,144,399,531,21,22,23,24,669,670,671,798,932,933,934,304,308,309,310,311,312,704,79,593,596,344,345,607,736,737,610,738,239,241,371,887,248,125,126]                                                                                                                                                                                             [897,387,643,901,134,131,133,138,523,524,525,142,143,144,399,527,531,655,407,156,669,670,671,798,927,547,676,932,678,933,934,686,304,180,311,312,442,443,139,63,64,704,578,69,328,718,79,720,593,721,596,344,345,603,247,607,736,737,610,738,239,887,241,242,245,246,254,248,249,125,126]

ITC2007_12  [4,7,14,45]                                                                                                                                                                                                                              [4,45,14,7]                                                                                                                                                                                                                                                                                                                                                      [4,45,14,7]
